,Restaurant Name,Rating,Review Count,Expected Cost,Price Range,Cuisines,Accepts Credit Cards,Address,Alcohol,Ambience,Attire,Bike Parking,Caters,Delivery,Good For,Good for Groups,Good for Kids,Has TV,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Review Count Num,Clean Rating
14,Am Thai Bistro,4.0 star rating,313 reviews,$$,,['Thai'],Yes,"1003 Church AveBrooklyn, NY 11218",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,Free,313.0,4.0
15,Amarin Cafe,4.0 star rating,219 reviews,$,,['Thai'],No,"617 Manhattan AveBrooklyn, NY 11222",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,219.0,4.0
16,Amina Thai,3.5 star rating,90 reviews,$$,$11-30,"['Asian Fusion', 'Halal', 'Thai']",Yes,"169-22 Hillside AveJamaica, NY 11432",No,Casual,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,,Free,90.0,3.5
17,Anago Sushi,3.0 star rating,5 reviews,,,"['Sushi Bars', 'Thai']",Yes,"240 8th AveNew York, NY 10011",,,,,,Yes,,,,,,No,,Yes,Yes,,Yes,No,5.0,3.0
18,Andaman Thai Bistro,4.0 star rating,107 reviews,$$,,['Thai'],Yes,"1843 1st AveNew York, NY 10128",Full Bar,Casual,Casual,Yes,,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,No,Free,107.0,4.0
19,Aoyama,3.5 star rating,103 reviews,$$,,"['Japanese', 'Sushi Bars', 'Thai']",Yes,"319 Franklin AveUnit 112Wyckoff, NJ 07481",No,Classy,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,No,Average,Yes,Private Lot,Yes,Yes,Yes,Yes,Free,103.0,3.5
20,Arbor Bistro,3.5 star rating,97 reviews,$$,$11-30,"['Sushi Bars', 'Asian Fusion', 'Thai']",Yes,"226 W Houston StNew York, NY 10014",Beer & Wine Only,Casual,Casual,Yes,,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,,Free,97.0,3.5
21,Arharn Thai Restaurant,4.0 star rating,141 reviews,$$,,['Thai'],Yes,"3205 36th AveAstoria, NY 11106",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,141.0,4.0
22,Aria Fusion,4.0 star rating,40 reviews,$$,$11-30,"['Asian Fusion', 'Sushi Bars', 'Thai']",Yes,"Harrison Shopping Mall385 Halstead AveHarrison, NY 10528",Full Bar,Casual,Casual,No,Yes,Yes,Lunch,Yes,Yes,Yes,Average,No,,Yes,Yes,Yes,,Free,40.0,4.0
23,Aroy Dee Thai Kitchen,3.5 star rating,243 reviews,$,Under $10,['Thai'],Yes,"20 John StNew York, NY 10038",No,Casual,Casual,Yes,Yes,Yes,Lunch,No,Yes,No,Average,No,Street,Yes,No,Yes,,No,243.0,3.5
24,"Aroy-D, The Thai Elephant Truck",3.5 star rating,38 reviews,$,,"['Thai', 'Food Trucks']",Yes,"1 14th St, Hoboken, NJHoboken, NJ 07030",No,,Casual,Yes,Yes,No,,Yes,Yes,No,Average,No,Street,Yes,No,No,Yes,Free,38.0,3.5
25,Arunee Thai,4.0 star rating,214 reviews,$$,,['Thai'],Yes,"78-23 37th AvenueJackson Heights, NY 11372",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,214.0,4.0
26,Asia Express,3.0 star rating,5 reviews,$,,['Thai'],Yes,"4703 Ave NNew York, NY 11234",No,,Casual,Yes,No,Yes,,Yes,Yes,No,Quiet,No,,Yes,No,Yes,,No,5.0,3.0
27,Asiam Thai Cuisine,3.5 star rating,153 reviews,$$,$11-30,['Thai'],Yes,"259 1st AveNew York, NY 10003",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,153.0,3.5
28,Asian Bowl Restaurant,3.5 star rating,99 reviews,$,,"['Chinese', 'Thai']",Yes,"24806 Union TpkeBellerose, NY 11426",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,"Street, Private Lot",Yes,No,Yes,Yes,Paid,99.0,3.5
29,Asian Chao,3.0 star rating,8 reviews,$$,,['Thai'],Yes,"630 Old Country RdSte 2109Garden City, NY 11530",,,Casual,,,No,,Yes,Yes,No,,Yes,,Yes,No,,,,8.0,3.0
30,Asian Fortune Restaurant,3.5 star rating,32 reviews,$$,$11-30,"['Asian Fusion', 'Chinese', 'Thai']",Yes,"103-35 Queens BoulevardForest Hills, NY 11375",,,Casual,,,Yes,,Yes,Yes,,Very Loud,No,,Yes,No,,,,32.0,3.5
31,Asian Fusion,4.0 star rating,47 reviews,$$,,"['Asian Fusion', 'Sushi Bars', 'Thai']",Yes,"66 School StGlen Cove, NY 11542",Beer & Wine Only,,Casual,Yes,,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,Free,47.0,4.0
32,Asian Garden,3.0 star rating,1 review,,,"['Seafood', 'Noodles', 'Thai']",Yes,"244 Livingston StNorthvale, NJ 07647",,,,,,No,,,,,,,,No,Yes,,,,1.0,3.0
33,Asian Gourmet,3.5 star rating,71 reviews,$$,,"['Vietnamese', 'Malaysian', 'Thai']",Yes,"57-11 Main StFLUSHING, NY 11355",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,No,Yes,Yes,No,71.0,3.5
34,Asian Kawa,4.0 star rating,12 reviews,$$$,,"['Japanese', 'Sushi Bars', 'Thai']",Yes,"652 Main RDMontville, NJ 07082",,,Casual,Yes,,Yes,,Yes,Yes,Yes,Average,No,"Street, Private Lot",Yes,Yes,Yes,Yes,Free,12.0,4.0
35,Asian Station,3.5 star rating,168 reviews,$$,$11-30,"['Japanese', 'Thai']",Yes,"155 E 52nd StNew York, NY 10022",Full Bar,Casual,Casual,No,Yes,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,168.0,3.5
36,Asian Time,1.5 star rating,7 reviews,,,"['Japanese', 'Thai']",,"347 Flatbush Ave.Brooklyn, NY 11238",,,,,,,,,,,,,,,,,,,7.0,1.5
37,Asuka Sushi,4.0 star rating,620 reviews,$$,,"['Sushi Bars', 'Japanese', 'Thai']",Yes,"300 W 23rd StNew York, NY 10011",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,620.0,4.0
38,At nine Restaurant & Bar,4.0 star rating,268 reviews,$$,$11-30,"['Thai', 'Bars']",Yes,"592 9th AveNew York, NY 10036",Full Bar,Trendy,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,No,No,Average,No,Street,Yes,Yes,Yes,,No,268.0,4.0
39,Atit Thai Restaurant,4.0 star rating,7 reviews,$$,,"['Thai', 'Asian Fusion']",Yes,"134 North AveNew Rochelle, NY 10801",No,,Casual,Yes,,No,,Yes,Yes,Yes,,No,,Yes,No,Yes,Yes,,7.0,4.0
40,Aura,3.5 star rating,144 reviews,$$,$11-30,['Thai'],Yes,"462 9th AveNew York, NY 10018",Beer & Wine Only,Casual,Casual,Yes,No,Yes,Lunch,No,Yes,Yes,Average,No,Street,Yes,,Yes,Yes,No,144.0,3.5
41,Auttharos,4.0 star rating,235 reviews,$$,$11-30,"['Thai', 'Salad']",No,"71-28 Roosevelt AveJackson Heights, NY 11372",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,235.0,4.0
42,Avenue A Asian World,2.5 star rating,3 reviews,,,['Thai'],,"103 Ave ANew York, NY 10009",,,,,,,,,,,,,,,,,,,3.0,2.5
43,Ayada Thai,1.5 star rating,2 reviews,$,,['Thai'],Yes,"139 W 28th StNew York, NY 10001",,,,,,,,,,,,,,,,,,,2.0,1.5
44,Bamboo House,1.0 star rating,1 review,$,,"['Thai', 'Chinese']",,"4107 Avenue UMarine Park, NY 11234",,,,,,,,No,,,,,,Yes,No,,,,1.0,1.0
45,Bang Thai,2.5 star rating,2 reviews,,,['Thai'],,"210 Thompson StNew York, NY 10012",,,,,,,,,,,,,,,,,,,2.0,2.5
46,Bangkok 2 Thai,3.5 star rating,135 reviews,$$,$11-30,['Thai'],Yes,"349 1st AveNew York, NY 10010",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",No,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,No,135.0,3.5
47,Bangkok BAR NYC,2.5 star rating,32 reviews,$$,,['Thai'],Yes,"230 Park AveNew York, NY 10169",No,Casual,Casual,No,Yes,No,Lunch,Yes,Yes,No,Very Loud,No,,Yes,No,Yes,,,32.0,2.5
48,Bangkok City Thai Restaurant,3.0 star rating,117 reviews,$$,$11-30,['Thai'],Yes,"335 Washington StHoboken, NJ 07030",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,Yes,Street,Yes,Yes,Yes,Yes,No,117.0,3.0
49,Bangkok Cuisine Upper East Side,4.0 star rating,141 reviews,$$,$11-30,['Thai'],Yes,"1586 2 AveNew York, NY 10028",Full Bar,,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Garage,Yes,Yes,Yes,Yes,No,141.0,4.0
50,Bangkok Cuisine,3.5 star rating,266 reviews,$$,$11-30,['Thai'],Yes,"10718 70th RdForest Hills, NY 11375",Full Bar,Casual,Casual,No,No,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,266.0,3.5
51,Bangkok House,3.5 star rating,192 reviews,$$,,['Thai'],Yes,"360 W 46 StNew York, NY 10036",Full Bar,Casual,Casual,No,No,Yes,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,No,No,192.0,3.5
52,Bangkok Tasty,3.5 star rating,128 reviews,$$,,['Thai'],Yes,"2906 23rd AveAstoria, NY 11105",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,128.0,3.5
53,Bangkok Thai Cuisine,3.0 star rating,95 reviews,$$,,['Thai'],No,"3804 Prince StFlushing, NY 11354",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,No,Yes,,No,95.0,3.0
54,BANY - Best Asian of New York,2.5 star rating,95 reviews,$$,$11-30,"['Asian Fusion', 'Japanese', 'Thai']",Yes,"10-57 Jackson AveLong Island City, NY 11101",Beer & Wine Only,Casual,Casual,No,,Yes,Dinner,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,95.0,2.5
55,Baoburg,4.0 star rating,62 reviews,$$,,"['Asian Fusion', 'Dim Sum', 'Thai']",Yes,"614 Manhattan AveBrooklyn, NY 11222",Full Bar,,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,Yes,Street,Yes,No,Yes,Yes,No,62.0,4.0
56,Bay House Bistro,3.0 star rating,50 reviews,$$,$11-30,"['Thai', 'Chinese', 'Sushi Bars']",Yes,"574 Bay StStaten Island, NY 10304",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,No,Free,50.0,3.0
57,Bay Thai,3.5 star rating,41 reviews,$$,,['Thai'],Yes,"6735 3rd AveBrooklyn, NY 11220",No,,Casual,Yes,No,Yes,Lunch,Yes,Yes,No,Quiet,No,,Yes,Yes,Yes,,Free,41.0,3.5
58,Bennie’s Thai Cafe,3.5 star rating,255 reviews,$$,$11-30,['Thai'],Yes,"88 Fulton StNew York, NY 10038",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,No,Yes,No,No,255.0,3.5
59,Best American Hero & Thai Food,,,,,['Thai'],,"82 Reade StNew York, NY 10007",,,,,,,,,,,,,,,,,,,,
60,Big Bowl,5.0 star rating,6 reviews,$,Under $10,"['Thai', 'Gluten-Free', 'Chinese']",Yes,"1764 1st AveNew York, NY 10128",,,,,Yes,Yes,,,,,,,,,No,,,,6.0,5.0
61,Big D’s Khao Cart,4.0 star rating,12 reviews,$,,"['Food Trucks', 'Vietnamese', 'Thai']",Yes,"50th & 6th AveNew York, NY 10020",No,Casual,Casual,Yes,Yes,No,Lunch,Yes,Yes,No,Average,No,Street,Yes,No,No,,No,12.0,4.0
62,BKNY Thai Restaurant,4.0 star rating,831 reviews,$$,,['Thai'],Yes,"47-11 Francis Lewis BlvdBayside, NY 11361",Full Bar,Casual,Casual,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Average,No,"Street, Private Lot",Yes,Yes,Yes,Yes,No,831.0,4.0
63,Black Thai,4.0 star rating,138 reviews,$$,$11-30,['Thai'],Yes,"81-16 Northern BlvdJackson Heights, NY 11372",Beer & Wine Only,Intimate,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,,Free,138.0,4.0
64,Blu Orchid Thai Kitchen,4.0 star rating,147 reviews,$$,$11-30,"['Thai', 'Vietnamese', 'Bars']",Yes,"4504 Queens BlvdSunnyside, NY 11104",Full Bar,"Trendy, Classy",Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,147.0,4.0
65,Boon Chu 2 Thai Place,3.5 star rating,98 reviews,$$,$11-30,['Thai'],Yes,"35-13 Ditmars BlvdAstoria, NY 11105",No,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,Street,Yes,No,Yes,,No,98.0,3.5
66,Boon Chu Thai Place,4.0 star rating,170 reviews,$,,['Thai'],Yes,"83-18 BroadwayElmhurst, NY 11373",No,Casual,Casual,No,No,Yes,"Lunch, Dinner",No,Yes,Yes,Quiet,No,Street,Yes,No,Yes,No,No,170.0,4.0
67,Boon Thai Kitchen,4.0 star rating,47 reviews,$$,,['Thai'],Yes,"21 E Northfield RdLivingston, NJ 07039",No,Casual,Casual,Yes,Yes,Yes,Lunch,Yes,Yes,No,Average,No,Private Lot,Yes,Yes,Yes,Yes,No,47.0,4.0
68,Boon Thai,3.5 star rating,18 reviews,$$,$11-30,['Thai'],Yes,"681 Manhattan AveGreenpoint, NY 11222",,,Casual,Yes,,Yes,,Yes,Yes,No,,No,,,Yes,,,,18.0,3.5
69,Boonsong Thai,3.5 star rating,58 reviews,$$,,['Thai'],Yes,"1040 Broad StBloomfield, NJ 07003",No,Casual,Casual,No,No,Yes,Dinner,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,,58.0,3.5
70,Bordolois Asian Fusion,3.5 star rating,59 reviews,$$,,"['Chinese', 'Asian Fusion', 'Thai']",Yes,"499 Ernston RdParlin, NJ 08859",No,Casual,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Quiet,No,"Valet, Street, Private Lot",Yes,Yes,Yes,,Free,59.0,3.5
71,Born Thai,3.5 star rating,221 reviews,$$,,['Thai'],Yes,"293 Flatbush AveBrooklyn, NY 11217",Full Bar,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,Yes,No,221.0,3.5
72,Broadway Thai,3.5 star rating,54 reviews,$$,,['Thai'],Yes,"241 W 51st StNew York, NY 10019",Full Bar,,Casual,Yes,No,No,,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,No,54.0,3.5
73,Brookside Thai Restaurant,3.5 star rating,164 reviews,$$,,['Thai'],Yes,"380 Broad StBloomfield, NJ 07003",No,Casual,Casual,Yes,Yes,No,Dinner,Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,164.0,3.5
74,Bua Thai,,,,,['Thai'],,"232 W Park AveLong Beach, NY 11561",,,,,,,,,,,,,,,,,,,,
75,Bunrasa Thai Restaurant,2.5 star rating,7 reviews,,,['Thai'],Yes,"109 Washington StNew York, NY 10006",No,,,,,,,No,No,,,,,,,,,,7.0,2.5
76,Cafe Asian,5.0 star rating,4 reviews,$$,,"['Sushi Bars', 'Thai', 'Chinese']",Yes,"509 Avenel StWoodbridge Township, NJ 07001",No,,Casual,,,Yes,,No,Yes,Yes,Quiet,No,,Yes,No,No,,No,4.0,5.0
77,Cafe Chili,3.0 star rating,111 reviews,$$,$11-30,"['Thai', 'Cafes']",Yes,"172 Court StBrooklyn, NY 11201",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Quiet,No,Street,Yes,Yes,Yes,Yes,No,111.0,3.0
78,Ceetay,4.5 star rating,205 reviews,$$,,"['Sushi Bars', 'Asian Fusion', 'Thai']",Yes,"129 Alexander AveBronx, NY 10454",Beer & Wine Only,Casual,Casual,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,205.0,4.5
79,Centre Thai Bistro,4.0 star rating,115 reviews,$$,,['Thai'],Yes,"268B Atlantic AveEast Rockaway, NY 11518",Beer & Wine Only,Casual,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,Yes,Yes,,No,115.0,4.0
80,Cha Ba Thai,4.0 star rating,99 reviews,$$,,['Thai'],Yes,"12 W Park AveLong Beach, NY 11561",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,Yes,No,99.0,4.0
81,ChaamLex,3.5 star rating,101 reviews,$$,$11-30,['Thai'],Yes,"34 Lexington AveNew York, NY 10010",Beer & Wine Only,Casual,Casual,Yes,No,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,No,Yes,Yes,No,101.0,3.5
82,Chai Thai Kitchen,3.5 star rating,376 reviews,$$,$11-30,['Thai'],Yes,"930 8th AveNew York, NY 10019",Beer & Wine Only,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",No,No,No,Average,No,Street,Yes,No,Yes,No,No,376.0,3.5
83,Chai,3.5 star rating,264 reviews,$$,,['Thai'],Yes,"124 N 6th StBrooklyn, NY 11211",Full Bar,Intimate,Casual,Yes,No,Yes,Dinner,Yes,No,No,Average,No,Street,Yes,Yes,Yes,Yes,No,264.0,3.5
84,Chang Noi Thai,5.0 star rating,40 reviews,$$,,['Thai'],Yes,"100 Stuyvesant PlStaten Island, NY 10301",No,,Casual,Yes,,Yes,Lunch,No,Yes,No,Quiet,No,,Yes,No,,,Free,40.0,5.0
85,Chang Pai,2.0 star rating,39 reviews,$$,$11-30,"['Thai', 'Chinese']",Yes,"166-12 Hillside AveJamaica, NY 11432",No,Casual,Casual,Yes,,Yes,Lunch,No,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,No,39.0,2.0
86,Chao Thai Restaurant,4.0 star rating,310 reviews,$$,,['Thai'],No,"8503 Whitney AveElmhurst, NY 11373",No,Casual,Casual,No,No,Yes,"Lunch, Dinner",No,Yes,No,Average,No,Street,Yes,No,Yes,Yes,No,310.0,4.0
87,Chat Kaew Thai Cuisine,4.0 star rating,39 reviews,$$,,['Thai'],Yes,"4 E Palisade AveEnglewood, NJ 07631",No,Casual,Casual,No,Yes,Yes,"Lunch, Dinner",Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,Yes,No,39.0,4.0
88,Cheers Thai,3.0 star rating,87 reviews,$$,$11-30,['Thai'],Yes,"568 Metropolitan AveBrooklyn, NY 11211",Full Bar,Trendy,Casual,Yes,No,Yes,Dinner,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,No,87.0,3.0
89,Chef’s Secret,2.0 star rating,67 reviews,$$,$11-30,['Thai'],Yes,"137 E 45th StNew York, NY 10017",No,Casual,Casual,Yes,,Yes,Lunch,Yes,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,No,67.0,2.0
90,Chelsea Thai Wholesale,3.0 star rating,193 reviews,$$,,"['Thai', 'Vegetarian']",Yes,"75 9th AveNew York, NY 10011",No,Casual,Casual,No,Yes,Yes,Lunch,No,Yes,No,Average,No,"Garage, Street",Yes,No,No,Yes,Free,193.0,3.0
91,Chelsea Thai,3.0 star rating,4 reviews,$$,,['Thai'],Yes,"88 10th AveNew York, NY 10011",No,,Casual,No,Yes,Yes,Lunch,Yes,Yes,No,Average,No,Garage,Yes,No,No,No,Free,4.0,3.0
92,Chin Chin Thai Kitchen,4.0 star rating,30 reviews,$,Under $10,['Thai'],Yes,"5717 Roosevelt AveWoodside, NY 11377",No,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Quiet,No,Street,Yes,No,Yes,,No,30.0,4.0
93,China House,5.0 star rating,2 reviews,$$,,"['Chinese', 'Thai']",,"2560 US 22Scotch Plains, NJ 07076",No,,,,,,,,Yes,,Average,,,Yes,,Yes,,,2.0,5.0
94,China sun 2,3.5 star rating,3 reviews,$,Under $10,"['Thai', 'Chinese']",Yes,"1980 Victory BlvdSte 2Staten Island, NY 10314",No,,,Yes,No,Yes,,,,Yes,,No,Private Lot,Yes,No,,Yes,No,3.0,3.5
95,China Thai Chinese Restaurant,3.5 star rating,4 reviews,$,,"['Thai', 'Chinese']",Yes,"867 Flatbush AveBrooklyn, NY 11226",No,,Casual,Yes,,Yes,,No,Yes,Yes,,No,,Yes,No,Yes,,,4.0,3.5
96,China Wang Restaurant,3.0 star rating,3 reviews,$$,,"['Chinese', 'Japanese', 'Thai']",No,"221 W 230th StBronx, NY 10463",No,,Casual,Yes,No,Yes,,Yes,Yes,No,Average,No,,Yes,No,No,,,3.0,3.0
97,Chok Dee Thai Kitchen,4.5 star rating,79 reviews,$$,,['Thai'],Yes,"561 Livingston StNorwood, NJ 07648",No,Casual,Casual,No,Yes,Yes,"Lunch, Dinner",No,Yes,Yes,Quiet,No,Private Lot,Yes,Yes,Yes,,No,79.0,4.5
98,Chop Shop II,4.0 star rating,115 reviews,$$,$11-30,"['Chinese', 'Thai', 'Asian Fusion']",Yes,"41 W 24th StNew York, NY 10010",Full Bar,Casual,Casual,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Average,No,Street,Yes,Yes,Yes,,No,115.0,4.0
99,Chop Shop,3.5 star rating,179 reviews,$$,,"['Asian Fusion', 'Chinese', 'Thai']",Yes,"254 10th AveNew York, NY 10001",Full Bar,Casual,Casual,Yes,Yes,Yes,Dinner,Yes,Yes,No,Average,Yes,Street,Yes,Yes,Yes,No,No,179.0,3.5
100,Chopstick Express,2.5 star rating,31 reviews,$$,$11-30,"['Chinese', 'Thai', 'Malaysian']",Yes,"1734 Oak Tree RdEdison, NJ 08820",No,Casual,Casual,No,Yes,No,"Lunch, Dinner",No,Yes,Yes,Quiet,No,Private Lot,Yes,No,Yes,Yes,No,31.0,2.5
